奶粉/營養品,1,1
生鮮食品,1,1
巧克力,1,2
瓜子/堅果/果乾,1,2
蛋糕甜點,1,6
嬰幼外出用品,1,27
日韓進口零食,1,2
休閒零食糖果,1,2
流行服飾洋裝,1,7
熟食/小吃,1,1
餵養用品,1,20
烹飪烘焙/食材,1,1
沖泡飲品/麥片,1,1
飲料,1,3
美食餐券,1,1
牛仔休閒上衣,2,7
專櫃女裝上衣,2,7
中大尺碼下著/洋裝,2,7
內褲,2,12
鞋材用品,2,8
童鞋,2,8
男裝上衣,2,7
女包,2,10
運動女鞋,2,8
男包,2,10
居家睡衣,2,7
專櫃女裝洋裝,2,7
男性內著,2,12
女性戶外鞋服,2,7
運動男鞋,2,8
開架,2,
休閒女鞋,2,8
流行服飾下著,2,7
運動男服,2,7
女性內衣,2,12
牛仔休閒下著,2,7
女鞋,2,8
運動女服,2,7
嬰幼童裝,2,7
男裝下著,2,7
男性戶外鞋服,2,7
流行服飾上衣,2,7
泳裝/比基尼,2,7
休閒男鞋,2,8
中大尺碼上衣,2,7
尿布/濕紙巾,2,13
專櫃女裝下著,2,7
美髮染護,2,9
童包,2,10
穿搭配件,2,10
性感/情趣睡衣,2,7
男鞋,2,8
襪子,2,8
美容家電,2,15
手機配件,2,28
瑞士錶/精品錶,2,11
專櫃飾品,2,10
塑身/調整型,2,7
流行飾品/配件,2,10
專櫃,2,10
纖體/美顏/健身,2,9
棉被/枕頭/保潔墊,3,19
除濕清淨,3,15
沙發,3,16
居安監控,3,15
收納,3,18
衛生紙,3,13
個人衛生小物,3,13
廚房家電,3,15
櫥櫃/櫃子,3,16
床包/寢具,3,19
吸塵器,3,15
洗衣機,3,15
居家裝修,3,22
辦公室設備,3,26
日用雜貨,3,23
空調設備,3,15
衛生棉墊,3,13
桌椅/椅子,3,16
嬰童寢具,3,27
洗護用品,3,13
家用清潔,3,17
濕巾/洗劑,3,27
寶寶防護,3,27
餐廚生活,3,20
洗衣用品,3,17
身體清潔,3,13
電冰箱,3,15
衛浴,3,17
床墊/床架,3,20
智能家居,3,15
家飾/織品,3,18
生活家電,3,15
汽車/改裝用品,4,24
汽機車用品,4,24
機車/配件,4,24
品牌桌上型電腦,5,28
孕媽用品,5,27
書籍,5,25
文具,5,26
DIY零組件,5,28
筆記型電腦,5,28
DIY桌上型電腦,5,28
電腦週邊,5,28
鍵盤/滑鼠/繪圖板,5,28
儲存設備,5,28
CPU/記憶體,5,28
印表機,5,28
戶外露營器材,6,33
住宿休息,6,31
自行車配件,6,29
自行車,6,29
手錶/時鐘,6,10
精品,6,11
運動戶外配件,6,29
電腦螢幕,6,28
情趣用品,6,
數位週邊配件,6,28
黃金/珠寶,6,11
香氛,6,9
清潔美容,6,9
相機配件,6,28
樂器,6,34
耳機,6,28
溫泉泡湯,6,31
寵物,6,30
按摩美容,6,9
攝影機/空拍機,6,28
平板/平板週邊,6,28
國際名牌飾品,6,10
智慧穿戴,6,28
音響劇院,6,28
玩具/娃娃,6,32
健身瑜珈器材,6,29
運動用品,6,29
手機,6,28
重量訓練器材,6,29
玩樂生活,6,32
按摩家電,6,15
內接儲存設備,6,28
投影機,6,28
主機板/顯示卡,6,28
行動電源,6,28
電視,6,15
鑽石,6,11
相機,6,28
影音DVD,6,32
旅遊週邊,6,31
行李箱,6,31
電玩遊戲/主機,6,32
養生/保健,7,5
口腔/牙齒保健,7,13
醫療/藥品,7,13
醫美保養,7,9
米,1,1
義大利,1,
麵條／米粉／冬粉,1,1
有機醬料/調味料,1,1
Actuel,1,
點心零嘴,1,2
寢俱織品,1,16
哺育用品,1,27
沖泡茶／咖啡,1,3
其他寵物食品,1,30
泡麵／速食粥／湯,1,1
奶粉／麥粉,1,3
食物保存用品,1,20
有機主食,1,1
有機零食,1,2
愛貓食品,1,30
品牌總覽,1,
牛奶／豆漿飲品,1,3
茶／咖啡／果汁,1,3
碳酸飲料／礦泉水,1,3
麵粉／調味粉,1,1
餅乾／蛋捲,1,2
調味品,1,1
抹醬,1,1
有機五穀雜糧,1,1
甜湯,1,1
有機穀片,1,1
其他進口食品,1,
名產／點心,1,2
沖泡飲品,1,3
有機商品,1,1
糖果／巧克力,1,2
隨身杯瓶,1,20
保健食品,1,5
南北雜貨,1,1
咖啡用品,1,20
法國,1,
運動／麥汁／果醋,1,3
美國／加拿大,1,
杯.壺,1,20
食用油,1,1
有機飲品,1,3
亞洲進口食品,1,1
寵物用品,1,30
醬菜／罐頭／高湯,1,1
毛巾配件,2,17
彩妝,2,9
襪類專區,2,8
臉部保養,2,9
男上內著,2,7
男仕專區,2,7
三花館 Sun Flower,2,12
自有品牌  IN EXTENSO / FP,2,7
女仕專區,2,7
免洗專區,2,13
臉部清潔 / 卸妝,2,9
棉被,2,19
男下內著,2,12
衣物清潔,2,17
成人紙尿褲,2,13
童裝與鞋類配件,2,8
髮部清潔 / 保養,2,9
清潔護理,2,13
健康美容家電,2,15
衛生棉 / 護墊,3,13
傘類,3,23
生活家電,3,15
洗衣/乾衣機 依容量選擇,3,16
衛浴五金／洗衣用具,3,14
冰箱/冷凍櫃 依容量選擇,3,15
各式平底鍋,3,20
衛生紙／濕紙巾,3,13
紙尿布,3,27
各式功能鍋具,3,20
窗型冷氣（依坪數）,3,15
除濕機,3,15
涼夏家電,3,15
廚房家電,3,15
餐盤,3,20
LED燈泡,3,22
身體清潔,3,13
衛生護理,3,13
視聽家電,3,15
竹涼系列,3,19
燈管/燈具,3,22
品牌專區_冷氣,3,15
省電燈泡,3,22
濾水壺/淨水器/濾心,3,20
各式炒鍋,3,20
整理用品,3,18
口腔清潔,3,13
清潔用具,3,17
層櫃/層架/收納,3,18
家庭清潔,3,17
寢具/配件,3,20
祭祀拜拜,3,
季節家電,3,15
行動科技 ／ 家用電話,3,28
鍋具品牌,3,20
防潮箱,3,16
電池／延長線／檯燈,3,22
辦公設備 ／ 週邊耗材,3,26
空氣清淨機,3,15
居家傢俱,3,16
園藝用品,3,21
兩件免運專區,3,
電視.4K電視,3,15
居家家電,3,15
品牌專區_冰箱 / 冷凍櫃,3,15
廚房用品.廚房收納,3,20
分離式冷氣（依坪數）,3,15
桌類,3,16
品牌專區_洗衣/乾衣機,3,15
品牌專區_電視.4K電視,3,15
椅子及沙發,3,16
汽機車用品,4,24
文具,5,26
筆電 ／ 桌機 ／ 螢幕,5,28
愛犬食品,6,30
烤肉 / 生火用具,6,33
露營／野餐旅行／行李箱,6,33
耳機 ／ 喇叭 ／ MP3 ／ 錄音筆 ／ 翻譯機,6,28
其他,6,
運動／腳踏車／健康器材,6,29
禮盒區,6,
玩具／游泳／戶外用品／其他,6,32
手機/平板專區,6,28
桌遊 / 麻將,6,32
電競相關週邊,6,32
PS4 ／ XBOX ／ NDS 系列主機及周邊,6,32
身體保養,7,9
食品 / 飲料,1,
調理 / 罐頭食品,1,1
食品 / 飲料 / 寵物用品,1,
常備食品 / 乾貨,1,1
飲品,1,3
零食,1,2
冷凍 / 冷藏 / 生鮮食品,1,1
清潔用品 / 茶水間補給用品,1,
保健用品 / 日常護理,2,9
保健 / 美容,2,9
配件,2,10
男童服飾,2,7
女童服飾,2,7
男裝服飾,2,7
手拿包 / 皮夾,2,10
鞋子,2,8
女裝服飾,2,7
行李箱 / 背包,2,31
床墊,2,19
手環,2,11
地板,3,22
戶外烤肉爐,3,33
電風扇 / 冷氣 / 電暖器 / 清淨除濕,3,15
電話,3,15
尿布 / 濕紙巾,3,27
影音電視,3,15
儲物櫃 / 收納,3,18
眼鏡,3,10
個人衛生用品,3,13
冰箱 / 冷凍櫃,3,15
客廳家具,3,16
清潔用品 / 器材,3,17
戶外冷暖設備,3,33
寢具,3,19
廚房五金,3,14
衛生紙用品,3,13
五金,3,14
成人照護設備及用品,3,13
餐廳家具,3,16
衛浴五金,3,14
儲藏屋,3,18
居家擺飾,3,23
寵物用品,3,30
餐具 / 餐廚用品,3,20
衛浴用品,3,17
戶外建築,3,
廚房家電,3,15
吸塵器 / 地板清潔,3,15
臥室家具,3,19
家用清潔,3,17
網卡 / 網路分享器,3,28
地毯 / 地墊,3,22
洗碗機,3,15
戶外家具,3,33
居家生活,3,23
居家保全,3,15
洗衣機 / 乾衣機,3,15
縫紉 / 整燙家電,2,15
酒櫃,3,15
餐飲業用品 / 器材 / 耗材,3,20
五金 / DIY,3,14
園藝,3,21
汽車 / 五金,4,24
機車 / 電動車用品,4,24
汽車百貨,4,24
硬碟 / 隨身碟 / 記憶卡,5,28
印表機 / 配件,5,28
事務 / 文具,5,26
辦公用品,5,26
辦公家具,5,26
桌上型 / 筆記型電腦,5,28
iPad & 平板電腦,5,28
兒童用品 / 照護,5,27
童書,5,25
書籍,5,25
露營用品,6,33
禮券 / 票券,6,
水上運動,6,29
周邊商品 / 配件,6,28
Apple 蘋果,6,28
休閒遊戲,6,32
健身器材與周邊,6,29
視聽娛樂,6,32
玩具,6,32
花束 / 盆栽,6,21
相機 / 攝影機,6,28
戒指,6,11
項鍊,6,11
手錶,6,11
手機 / 網卡/ 周邊商品,6,28
耳環,6,11
禮盒,6,
冬季運動,6,29
戶外運動,6,29
樂器,6,34
保健食品,7,5
美顏保健,7,9
營養保健食品,1,5
奶粉麥片穀粉,1,1
冰品,1,2
米食用油,1,1
微波食品,1,1
烘焙食品,1,1
火鍋料理,1,1
肉品高湯,1,1
泡麵麵條,1,1
咖啡茶包,1,3
果汁飲料養生,1,3
休閒零食,1,2
糖果巧克力口香糖,1,2
抹醬蜂蜜奶油,1,1
冷藏食品,1,1
茶飲咖啡水,1,3
精選餅乾,1,2
嬰幼兒食品,1,1
素料理,1,1
蔬菜水果禮盒,1,4
人氣商品南北貨,1,1
冷凍調理,1,1
海鮮水產,1,4
調味品罐頭湯品,1,1
晴雨用具,2,23
流行鞋襪,2,8
沐浴護膚,2,9
美妝保養,2,9
男女內著,2,12
個人清潔,2,13
收納層架,3,18
生活小家電,3,15
美容健身家電,3,
電視冰箱洗衣機,3,15
家飾,3,23
衛生紙,3,13
餐廚配備,3,20
線材五金,3,14
女性衛生,3,13
寢具,3,19
廚房家電,3,15
紙尿褲尿墊,3,13
衛浴用品,3,17
家庭清潔,3,17
杯盤餐具,3,20
床墊,3,19
居家護理,3,13
傢俱,3,16
園藝用品,3,21
季節家電,3,15
烹調器具,3,20
車用百貨,4,24
運動休閒旅行用品,5,29
節慶祭祀,5,
文具玩具圖書,5,26
育嬰用品,5,27
電腦螢幕硬碟,6,28
週邊耗材,6,28
桌機筆電平板,6,28
寵物用品,6,30
手機通訊週邊,6,28
相機攝影DV,6,28
視聽家電,6,15
電玩遊戲機,6,32